e,conjunção,i
e·le·tro·co·a·gu·la·ção,"nome feminino",e.le.tɾo.ko.a.gu.la.sˈə̃w
e·le·tro·cul·tu·ra,"nome feminino",e.le.tɾo.kuw.tˈu.ɾə
e·le·tro·de·po·si·ção,"nome feminino",e.le.tɾo.de.po.zi.sˈə̃w
e·le·tro·di·ag·nós·ti·co,"nome masculino",e.le.tɾo.dʒja.gə.nˈɔs.tʃi.kʊ
e·le·tro·di·á·li·se,"nome feminino",e.le.tɾo.dʒjˈa.li.zi
e·le·tro·di·nâ·mi·ca,"nome feminino",e.le.tɾo.dʒi.nˈə.mi.kə
e·le·tro·di·nâ·mi·co,adjetivo,e.le.tɾo.dʒi.nˈə.mi.kʊ
e·le·tro·di·na·mis·mo,"nome masculino",e.le.tɾo.dʒi.na.mˈiz.mʊ
e·le·tro·do·més·ti·co,adjetivo,e.le.tɾo.do.mˈɛs.tʃi.kʊ
e·le·tro·do·més·ti·co,"nome masculino",e.le.tɾo.do.mˈɛs.tʃi.kʊ
e·le·tro·en·ce·fa·lo·gra·ma,"nome masculino",e.le.tɾo.ẽ.se.fa.lo.gɾˈə.mə
e·le·tro·fi·si·o·lo·gi·a,"nome feminino",e.le.tɾo.fi.zi.o.lo.ʒˈi.jə
e·le·tro·fi·si·o·ló·gi·co,adjetivo,e.le.tɾo.fi.zi.o.lˈɔ.ʒi.kʊ
e·le·tro·for·ma·ção,"nome feminino",e.le.tɾo.foɾ.ma.sˈə̃w
e·le·tro·fo·to·gra·fi·a,"nome feminino",e.le.tɾo.fo.to.gɾa.fˈi.jə
e·le·tro·fo·to·grá·fi·co,adjetivo,e.le.tɾo.fo.to.gɾˈa.fi.kʊ
e·le·tro·gé·ne·se,"nome feminino",e.le.tɾo.ʒˈɛ.ne.zi
e·le·tro·ge·né·ti·co,adjetivo,e.le.tɾo.ʒe.nˈɛ.tʃi.kʊ
e·le·tro·ge·ra·dor,"nome masculino",e.le.tɾo.ʒe.ɾa.dˈoɾ
e·le·tro·gra·fi·a,"nome feminino",e.le.tɾo.gɾa.fˈi.jə
e·le·tro·grá·fi·co,adjetivo,e.le.tɾo.gɾˈa.fi.kʊ
e·le·tro·í·man,"nome masculino",e.le.tɾo.ˈi.mə̃
e·le·tro·lí·ti·co,adjetivo,e.le.tɾo.lˈi.tʃi.kʊ
e·le·tro·ló·gi·co,adjetivo,e.le.tɾo.lˈɔ.ʒi.kʊ
"e·le·tro·lu·mi·nes·cên·ci· a","nome feminino",e.le.tɾo.lu.mi.ne.sˈẽj.sjə
e·le·tro·lu·mi·nes·cen·te,adjetivo,e.le.tɾo.lu.mi.ne.sˈẽj.tʃi
e·le·tro·mag·ne·te,"nome masculino",e.le.tɾo.ma.gi.nˈɛ.tʃi
e·le·tro·mag·né·ti·co,adjetivo,e.le.tɾo.ma.gi.nˈɛ.tʃi.kʊ
e·le·tro·mag·ne·tis·mo,"nome masculino",e.le.tɾo.ma.gi.ne.tʃˈiz.mʊ
e·le·tro·mag·ne·to,"nome masculino",e.le.tɾo.ma.gi.nˈɛ.tʊ
e·le·tro·me·câ·ni·ca,"nome feminino",e.le.tɾo.me.kˈə.ni.kə
e·le·tro·me·câ·ni·co,adjetivo,e.le.tɾo.me.kˈə.ni.kʊ
e·le·tro·me·câ·ni·co,"nome masculino",e.le.tɾo.me.kˈə.ni.kʊ
e·le·tro·me·ta·lur·gi·a,"nome feminino",e.le.tɾo.me.ta.luɾ.ʒˈi.jə
e·le·tro·me·ta·lúr·gi·co,adjetivo,e.le.tɾo.me.ta.lˈuɾ.ʒi.kʊ
e·le·tro·mé·tri·co,adjetivo,e.le.tɾo.mˈɛ.tɾi.kʊ
e·le·tro·mo·tor,adjetivo,e.le.tɾo.mo.tˈoɾ
e·le·tro·mo·tor,"nome masculino",e.le.tɾo.mo.tˈoɾ
e·le·tro·mo·triz,adjetivo,e.le.tɾo.mo.tɾˈis
e·le·tro·mó·vel,adjetivo,e.le.tɾo.mˈɔ.vew
e·le·tro·ne·ga·ti·vi·da·de,"nome feminino",e.le.tɾo.ne.ga.tʃi.vi.dˈa.dʒi
e·le·tro·ne·ga·ti·vo,adjetivo,e.le.tɾo.ne.ga.tʃˈi.vʊ
e·le·tró·ni·ca,"nome feminino",e.le.tɾˈɔ.ni.kə
e·le·trô·ni·ca,"nome feminino",e.le.tɾˈo.ni.kə
e·le·tro·ni·ca·men·te,advérbio,"e.le.tɾɔ.ni.ka.mˈẽj.tʃi ou e.le.tɾɔ.ni.ka.mˈẽj.tʃi"
e·le·tró·ni·co,adjetivo,e.le.tɾˈɔ.ni.kʊ
e·le·trô·ni·co,adjetivo,e.le.tɾˈo.ni.kʊ
e·le·tro·po·si·ti·vi·da·de,"nome feminino",e.le.tɾo.po.zi.tʃi.vi.dˈa.dʒi
e·le·tro·po·si·ti·vo,adjetivo,e.le.tɾo.po.zi.tʃˈi.vʊ
e·le·tro·quí·mi·ca,"nome feminino",e.le.tɾo.kˈi.mi.kə
e·le·tro·quí·mi·co,adjetivo,e.le.tɾo.kˈi.mi.kʊ
e·le·tror·ra·di·o·lo·gi·a,"nome feminino",e.le.tɾo.xa.dʒi.o.lo.ʒˈi.jə
e·le·tror·ra·di·o·lo·gis·ta,"nome masculino",e.le.tɾo.xa.dʒi.o.lo.ʒˈis.tə
e·le·tror·ra·di·o·lo·gis·ta,"nome feminino",e.le.tɾo.xa.dʒi.o.lo.ʒˈis.tə
e·le·tros·se·má·fo·ro,"nome masculino",e.le.tɾo.se.mˈa.fo.ɾʊ
e·le·tros·ser·ra,"nome feminino",e.le.tɾo.sˈɛ.xə
e·le·tros·si·de·rur·gi·a,"nome feminino",e.le.tɾo.si.de.ɾuɾ.ʒˈi.jə
e·le·tros·si·de·rúr·gi·co,adjetivo,e.le.tɾo.si.de.ɾˈuɾ.ʒi.kʊ
e·le·tros·sol·da·du·ra,"nome feminino",e.le.tɾo.sow.da.dˈu.ɾə
e·le·tro·téc·ni·ca,"nome feminino",e.le.tɾo.tˈɛ.ki.ni.kə
e·le·tro·téc·ni·co,adjetivo,e.le.tɾo.tˈɛ.ki.ni.kʊ
e·le·tro·téc·ni·co,"nome masculino",e.le.tɾo.tˈɛ.ki.ni.kʊ
e·le·tro·te·ra·peu·ta,"nome feminino",e.le.tɾo.te.ɾa.pˈew.tə
e·le·tro·te·ra·peu·ta,"nome masculino",e.le.tɾo.te.ɾa.pˈew.tə
e·le·tro·te·ra·pêu·ti·ca,"nome feminino",e.le.tɾo.te.ɾa.pˈew.tʃi.kə
e·le·tro·te·ra·pêu·ti·co,adjetivo,e.le.tɾo.te.ɾa.pˈew.tʃi.kʊ
e·le·tro·te·ra·pi·a,"nome feminino",e.le.tɾo.te.ɾa.pˈi.jə
e·le·tro·ter·mi·a,"nome feminino",e.le.tɾo.teɾ.mˈi.jə
e·le·tro·tér·mi·co,adjetivo,e.le.tɾo.tˈɛɾ.mi.kʊ
e·le·tro·tí·pi·co,adjetivo,e.le.tɾo.tʃˈi.pi.kʊ
e·le·tro·tó·ni·co,adjetivo,e.le.tɾo.tˈɔ.ni.kʊ
e·le·tro·tró·pi·co,adjetivo,e.le.tɾo.tɾˈɔ.pi.kʊ
e·le·tro·tro·pis·mo,"nome masculino",e.le.tɾo.tɾo.pˈiz.mʊ
"e·le·tro·va·lên·ci· a","nome feminino",e.le.tɾo.va.lˈẽj.sjə
e·le·tro·va·len·te,adjetivo,e.le.tɾo.va.lˈẽj.tʃi
e·le·tro·vi·tal,adjetivo,e.le.tɾo.vi.tˈaw
e·le·tro·vi·ta·lis·mo,"nome masculino",e.le.tɾo.vi.ta.lˈiz.mʊ
e·le·va·ção,"nome feminino",e.le.va.sˈə̃w
e·le·va·da·men·te,advérbio,e.le.va.da.mˈẽj.tʃi
e·le·va·dís·si·mo,adjetivo,e.le.va.dʒˈi.si.mʊ
e·le·va·do,adjetivo,e.le.vˈa.dʊ
e·le·va·dor,"nome masculino",e.le.va.dˈoɾ
e·le·va·dor,adjetivo,e.le.va.dˈoɾ
e·le·var,verbo,e.le.vˈa
"e·le·va·tó·ri· o",adjetivo,e.le.va.tˈɔ.ɾjʊ
el·fo,"nome masculino",ˈɛw.fʊ
e·li·di·do,adjetivo,e.li.dʒˈi.dʊ
e·li·dir,verbo,e.li.dʒˈi
e·li·mi·na·ção,"nome feminino",e.li.mi.na.sˈə̃w
e·li·mi·na·dor,adjetivo,e.li.mi.na.dˈoɾ
e·li·mi·na·dor,"nome masculino",e.li.mi.na.dˈoɾ
e·li·mi·nar,verbo,e.li.mi.nˈa
"e·li·mi·na·tó·ri· a","nome feminino",e.li.mi.na.tˈɔ.ɾjə
"e·li·mi·na·tó·ri· o",adjetivo,e.li.mi.na.tˈɔ.ɾjʊ
e·lip·se,"nome feminino",e.lˈi.pi.si
e·lip·soi·de,adjetivo,e.li.pə.sˈɔj.dʒi
e·lip·soi·de,"nome masculino",e.li.pə.sˈɔj.dʒi
e·lip·ti·ca·men·te,advérbio,e.li.pi.tʃi.ka.mˈẽj.tʃi
e·líp·ti·co,adjetivo,e.lˈi.pi.tʃi.kʊ
e·li·são,"nome feminino",e.li.zˈə̃w
"e·lí·si· o",adjetivo,e.lˈi.zju
"e·lí·si· o","nome masculino",e.lˈi.zju
e·li·te,"nome feminino",e.lˈi.tʃi
e·li·tis·mo,"nome masculino",e.li.tʃˈiz.mʊ
e·li·tis·ta,adjetivo,e.li.tʃˈis.tə
e·li·tis·ta,"nome masculino",e.li.tʃˈis.tə
e·li·tis·ta,"nome feminino",e.li.tʃˈis.tə
e·li·ti·za·ção,"nome feminino",e.li.tʃi.za.sˈə̃w
e·li·xir,"nome masculino",e.li.ʃˈiɾ
el·ma·nis·ta,"nome masculino",ew.ma.nˈis.tə
el·mo,"nome masculino",ˈɛw.mʊ
e·lo,"nome masculino",ˈɛ.lʊ
e·lo·cu·ção,"nome feminino",e.lo.ku.sˈə̃w
e·lo·gi·a·dor,adjetivo,e.lo.ʒja.dˈoɾ
e·lo·gi·a·dor,"nome masculino",e.lo.ʒja.dˈoɾ
e·lo·gi·ar,verbo,e.lo.ʒjˈa
e·lo·gi·á·vel,adjetivo,e.lo.ʒjˈa.vew
e·lo·gi·o,"nome masculino",e.lo.ʒˈi.ʊ
e·lo·gi·o·sa·men·te,advérbio,e.lo.ʒi.ɔ.za.mˈẽj.tʃi
e·lo·gi·o·so,adjetivo,e.lo.ʒi.ˈo.zʊ
e·lon·ga·ção,"nome feminino",e.lõ.ga.sˈə̃w
"e·lo·quên·ci· a","nome feminino",e.lo.kwˈẽj.sjə
e·lo·quen·te,adjetivo,e.lo.kwˈẽj.tʃi
e·lo·quen·te·men·te,advérbio,e.lo.kwẽ.te.mˈẽj.tʃi
e·lu·ci·da·ção,"nome feminino",e.lu.si.da.sˈə̃w
e·lu·ci·dar,verbo,e.lu.si.dˈa
"e·lu·ci·dá·ri· o","nome masculino",e.lu.si.dˈa.ɾjʊ
e·lu·ci·da·ti·va·men·te,advérbio,e.lu.si.da.tʃi.va.mˈẽj.tʃi
e·lu·ci·da·ti·vo,adjetivo,e.lu.si.da.tʃˈi.vʊ
e·lu·cu·bra·ção,"nome feminino",e.lu.ku.bɾa.sˈə̃w
e·lu·cu·brar,verbo,e.lu.ku.bɾˈa
e·lu·dir,verbo,e.lu.dʒˈi
e·lu·si·vo,adjetivo,e.lu.zˈi.vʊ
el·ven·se,adjetivo,ew.vˈẽj.si
el·ven·se,"nome masculino","ew.vˈẽj.si ou ew.vˈẽj.si"
em,preposição,ẽj
e·ma,"nome feminino",ˈe.mə
e·ma·ci·a·do,adjetivo,e.ma.sjˈa.dʊ
e·ma·ci·a·do,"nome masculino",e.ma.sjˈa.dʊ
e·ma·ci·ar,verbo,e.ma.sjˈa
e·ma·gre·cer,verbo,e.ma.gɾe.sˈe
e·ma·gre·ci·do,adjetivo,e.ma.gɾe.sˈi.dʊ
e·ma·gre·ci·men·to,"nome masculino",e.ma.gɾe.si.mˈẽj.tʊ
e·ma·il,"nome masculino",
e·ma·lar,verbo,e.ma.lˈa
e·ma·lhar,verbo,e.ma.ʎˈa
e·ma·na·ção,"nome feminino",e.ma.na.sˈə̃w
e·ma·nar,verbo,e.ma.nˈa
e·man·ci·pa·ção,"nome feminino",e.mə̃.si.pa.sˈə̃w
e·man·ci·pa·do,adjetivo,e.mə̃.si.pˈa.dʊ
e·man·ci·pa·dor,adjetivo,e.mə̃.si.pa.dˈoɾ
e·man·ci·pa·dor,"nome masculino",e.mə̃.si.pa.dˈoɾ
e·man·ci·pa·do·ra,"nome feminino",e.mə̃.si.pa.dˈo.ɾə
e·man·ci·par,verbo,e.mə̃.si.pˈa
"e·man·ci·pa·tó·ri· o",adjetivo,e.mə̃.si.pa.tˈɔ.ɾjʊ
e·ma·ra·nha·da·men·te,advérbio,e.ma.ɾa.ɲa.da.mˈẽj.tʃi
e·ma·ra·nha·do,adjetivo,e.ma.ɾa.ɲˈa.dʊ
e·ma·ra·nha·do,"nome masculino",e.ma.ɾa.ɲˈa.dʊ
e·ma·ra·nhar,verbo,e.ma.ɾa.ɲˈa
e·mas·cu·lar,verbo,e.mas.ku.lˈa
em·ba·ça·do,adjetivo,ĩ.ba.sˈa.dʊ
em·ba·çar,verbo,ĩ.ba.sˈa
em·ba·ci·a·do,adjetivo,ĩ.ba.sjˈa.dʊ
em·ba·ci·a·men·to,"nome masculino",ĩ.ba.sja.mˈẽj.tʊ
em·ba·ci·ar,verbo,ĩ.ba.sjˈa
em·ba·i·nhar,verbo,ĩ.ba.i.ɲˈa
em·bai·xa·da,"nome feminino",ĩ.baj.ʃˈa.də
em·bai·xa·dor,"nome masculino",ĩ.baj.ʃa.dˈoɾ
em·bai·xa·do·ra,"nome feminino",ĩ.baj.ʃa.dˈo.ɾə
em·bai·xa·triz,"nome feminino",ĩ.baj.ʃa.tɾˈis
em·ba·la,"nome feminino",ĩ.bˈa.lə
em·ba·la·dei·ra,"nome feminino",ĩ.ba.la.dˈej.ɾə
em·ba·la·do,adjetivo,ĩ.ba.lˈa.dʊ
em·ba·la·dor,adjetivo,ĩ.ba.la.dˈoɾ
em·ba·la·dor,"nome masculino",ĩ.ba.la.dˈoɾ
em·ba·la·do·ra,"nome feminino",ĩ.ba.la.dˈo.ɾə
em·ba·la·gem,"nome feminino",ĩ.ba.lˈa.ʒeɲ
em·ba·lar,verbo,ĩ.ba.lˈa
em·ba·lo,"nome masculino",ĩ.bˈa.lʊ
em·ba·lo,adjetivo,ĩ.bˈa.lʊ
em·bal·sa·ma·do,adjetivo,ĩ.baw.sa.mˈa.dʊ
em·bal·sa·ma·dor,adjetivo,ĩ.baw.sa.ma.dˈoɾ
em·bal·sa·ma·dor,"nome masculino",ĩ.baw.sa.ma.dˈoɾ
em·bal·sa·ma·men·to,"nome masculino",ĩ.baw.sa.ma.mˈẽj.tʊ
em·bal·sa·mar,verbo,ĩ.baw.sa.mˈa
em·bal·sa·men·to,"nome masculino",ĩ.baw.sa.mˈẽj.tʊ
em·bal·sar,verbo,ĩ.baw.sˈa
em·ban·dei·rar,verbo,ĩ.bə̃.dej.ɾˈa
em·ba·ra·ça·da·men·te,advérbio,ĩ.ba.ɾa.sa.da.mˈẽj.tʃi
em·ba·ra·ça·do,adjetivo,ĩ.ba.ɾa.sˈa.dʊ
em·ba·ra·ça·dor,adjetivo,ĩ.ba.ɾa.sa.dˈoɾ
em·ba·ra·ça·dor,"nome masculino",ĩ.ba.ɾa.sa.dˈoɾ
em·ba·ra·ça·do·ra,"nome feminino",ĩ.ba.ɾa.sa.dˈo.ɾə
em·ba·ra·çan·te,adjetivo,ĩ.ba.ɾa.sˈə̃.tʃi
em·ba·ra·çar,verbo,ĩ.ba.ɾa.sˈa
em·ba·ra·ço,"nome masculino",ĩ.ba.ɾˈa.sʊ
em·ba·ra·ço·sa·men·te,advérbio,ĩ.ba.ɾa.sɔ.za.mˈẽj.tʃi
em·ba·ra·ço·so,adjetivo,ĩ.ba.ɾa.sˈo.zʊ
em·ba·ra·te·cer,verbo,ĩ.ba.ɾa.te.sˈe
em·ba·ra·te·ci·men·to,"nome masculino",ĩ.ba.ɾa.te.si.mˈẽj.tʊ
em·bar·ca·ção,"nome feminino",ĩ.baɾ.ka.sˈə̃w
em·bar·ca·di·ço,adjetivo,ĩ.baɾ.ka.dʒˈi.sʊ
em·bar·ca·di·ço,"nome masculino",ĩ.baɾ.ka.dʒˈi.sʊ
em·bar·ca·do,adjetivo,ĩ.baɾ.kˈa.dʊ
em·bar·ca·dou·ro,"nome masculino",ĩ.baɾ.ka.dˈo.ɾʊ
em·bar·car,verbo,ĩ.baɾ.kˈa
em·bar·ga·da,"nome feminino",ĩ.baɾ.gˈa.də
em·bar·ga·do,adjetivo,ĩ.baɾ.gˈa.dʊ
em·bar·ga·do,"nome masculino",ĩ.baɾ.gˈa.dʊ
em·bar·gan·te,adjetivo,ĩ.baɾ.gˈə̃.tʃi
em·bar·gan·te,"nome masculino",ĩ.baɾ.gˈə̃.tʃi
em·bar·gan·te,"nome feminino",ĩ.baɾ.gˈə̃.tʃi
em·bar·gar,verbo,ĩ.baɾ.gˈa
em·bar·go,"nome masculino",ĩ.bˈaɾ.gʊ
em·bar·que,"nome masculino",ĩ.bˈaɾ.ki
em·bar·re·tar,verbo,ĩ.ba.xe.tˈa
em·bar·ri·lar,verbo,ĩ.ba.xi.lˈa
em·ba·sa·men·to,"nome masculino",ĩ.ba.za.mˈẽj.tʊ
em·bas·ba·ca·do,adjetivo,ĩ.baz.ba.kˈa.dʊ
em·bas·ba·ca·men·to,"nome masculino",ĩ.baz.ba.ka.mˈẽj.tʊ
em·bas·ba·car,verbo,ĩ.baz.ba.kˈa
em·ba·te,"nome masculino",ĩ.bˈa.tʃi
em·ba·ter,verbo,ĩ.ba.tˈe
em·ba·tu·car,verbo,ĩ.ba.tu.kˈa
em·be·be·da·do,adjetivo,ĩ.be.be.dˈa.dʊ
em·be·be·dar,verbo,ĩ.be.be.dˈa
em·be·ber,verbo,ĩ.be.bˈe
em·be·bi·do,adjetivo,ĩ.be.bˈi.dʊ
em·bei·ça·do,adjetivo,ĩ.bej.sˈa.dʊ
em·bei·çar,verbo,ĩ.bej.sˈa
em·be·le·za·men·to,"nome masculino",ĩ.be.le.za.mˈẽj.tʊ
em·be·le·zar,verbo,ĩ.be.le.zˈa
em·be·ve·cer,verbo,ĩ.be.ve.sˈe
em·be·ve·ci·do,adjetivo,ĩ.be.ve.sˈi.dʊ
em·be·ve·ci·men·to,"nome masculino",ĩ.be.ve.si.mˈẽj.tʊ
em·bi·car,verbo,ĩ.bi.kˈa
em·bi·o·ca·do,adjetivo,ĩ.bi.o.kˈa.dʊ
em·bi·o·car,verbo,ĩ.bi.o.kˈa
em·bir·ra,"nome feminino",ĩ.bˈi.xə
em·bir·ra·ção,"nome feminino",ĩ.bi.xa.sˈə̃w
em·bir·ran·te,adjetivo,ĩ.bi.xˈə̃.tʃi
em·bir·ran·te,"nome masculino","ĩ.bi.xˈə̃.tʃi ou ĩ.bi.xˈə̃.tʃi"
em·bir·rar,verbo,ĩ.bi.xˈa
em·bir·ren·to,adjetivo,ĩ.bi.xˈẽj.tʊ
em·bir·ren·to,"nome masculino",ĩ.bi.xˈẽj.tʊ
em·ble·ma,"nome masculino",ĩ.blˈɛ.mə
em·ble·mar,verbo,ĩ.ble.mˈa
em·ble·ma·ti·ca·men·te,advérbio,ĩ.ble.ma.tʃi.ka.mˈẽj.tʃi
em·ble·má·ti·co,adjetivo,ĩ.ble.mˈa.tʃi.kʊ
em·bo·ca·du·ra,"nome feminino",ĩ.bo.ka.dˈu.ɾə
em·bo·la·ção,"nome feminino",ĩ.bo.la.sˈə̃w
em·bo·la·do,adjetivo,ĩ.bo.lˈa.dʊ
em·bo·lar,verbo,ĩ.bo.lˈa
em·bo·li·a,"nome feminino",ĩ.bo.lˈi.jə
êm·bo·lo,"nome masculino",ˈẽ.bo.lʊ
em·bol·sar,verbo,ĩ.bow.sˈa
em·bon·dei·ro,"nome masculino",ĩ.bõ.dˈej.ɾʊ
em·bo·ra,"nome masculino",ĩ.bˈɔ.ɾə
em·bo·ra,advérbio,ĩ.bˈɔ.ɾə
em·bo·ra,conjunção,ĩ.bˈɔ.ɾə
em·bor·car,verbo,ĩ.boɾ.kˈa
em·bos·ca·da,"nome feminino",ĩ.bos.kˈa.də
em·bos·ca·do,adjetivo,ĩ.bos.kˈa.dʊ
em·bos·ca·do,"nome masculino",ĩ.bos.kˈa.dʊ
em·bos·car,verbo,ĩ.bos.kˈa
em·bo·ta·do,adjetivo,ĩ.bo.tˈa.dʊ
em·bo·ta·men·to,"nome masculino",ĩ.bo.ta.mˈẽj.tʊ
em·bo·tar,verbo,ĩ.bo.tˈa
em·bra·çar,verbo,ĩ.bɾa.sˈa
em·bra·ce,"nome masculino",ĩ.bɾˈa.si
em·brai·a·gem,"nome feminino",ĩ.bɾaj.ˈa.ʒeɲ
em·bran·que·cer,verbo,ĩ.bɾə̃.ke.sˈe
em·bran·que·ci·do,adjetivo,ĩ.bɾə̃.ke.sˈi.dʊ
em·bre·cha·do,adjetivo,ĩ.bɾɛ.ʃˈa.dʊ
em·bre·cha·do,"nome masculino",ĩ.bɾɛ.ʃˈa.dʊ
em·bre·char,verbo,ĩ.bɾɛ.ʃˈa
em·bre·nhar,verbo,ĩ.bɾe.ɲˈa
em·bri·a·ga·da,"nome feminino",ĩ.bɾja.gˈa.də
em·bri·a·ga·do,adjetivo,ĩ.bɾja.gˈa.dʊ
em·bri·a·ga·do,"nome masculino",ĩ.bɾja.gˈa.dʊ
em·bri·a·gan·te,adjetivo,ĩ.bɾja.gˈə̃.tʃi
em·bri·a·gar,verbo,ĩ.bɾja.gˈa
em·bri·a·guez,"nome feminino",ĩ.bɾja.gˈes
em·bri·ão,"nome masculino",ĩ.bɾi.ˈə̃w
em·bri·o·gé·ne·se,"nome feminino",ĩ.bɾi.o.ʒˈɛ.ne.zi
em·bri·o·lo·gi·a,"nome feminino",ĩ.bɾi.o.lo.ʒˈi.jə
em·bri·o·lo·gis·ta,"nome masculino","ĩ.bɾi.o.lo.ʒˈis.tə ou ĩ.bɾi.o.lo.ʒˈis.tə"
em·bri·o·na·ri·a·men·te,advérbio,ĩ.bɾi.o.na.ɾja.mˈẽj.tʃi
"em·bri·o·ná·ri· o",adjetivo,ĩ.bɾi.o.nˈa.ɾjʊ
em·bru·lha·da,"nome feminino",ĩ.bɾu.ʎˈa.də
em·bru·lha·do,adjetivo,ĩ.bɾu.ʎˈa.dʊ
em·bru·lhar,verbo,ĩ.bɾu.ʎˈa
em·bru·lho,"nome masculino",ĩ.bɾˈu.ʎʊ
em·bru·te·ce·dor,adjetivo,ĩ.bɾu.te.se.dˈoɾ
em·bru·te·cer,verbo,ĩ.bɾu.te.sˈe
em·bru·te·ci·do,adjetivo,ĩ.bɾu.te.sˈi.dʊ
em·bru·te·ci·men·to,"nome masculino",ĩ.bɾu.te.si.mˈẽj.tʊ
em·bru·xa·do,adjetivo,ĩ.bɾu.ʃˈa.dʊ
em·bru·xar,verbo,ĩ.bɾu.ʃˈa
em·bu·ça·da,"nome feminino",ĩ.bu.sˈa.də
em·bu·ça·do,adjetivo,ĩ.bu.sˈa.dʊ
em·bu·ça·do,"nome masculino",ĩ.bu.sˈa.dʊ
em·bu·çar,verbo,ĩ.bu.sˈa
em·bu·dar,verbo,ĩ.bu.dˈa
em·bu·de,"nome masculino",ĩ.bˈu.dʒi
em·bus·te,"nome masculino",ĩ.bˈus.tʃi
em·bus·tei·ro,adjetivo,ĩ.bus.tˈej.ɾʊ
em·bus·tei·ro,"nome masculino",ĩ.bus.tˈej.ɾʊ
em·bu·ti·do,adjetivo,ĩ.bu.tʃˈi.dʊ
em·bu·ti·do,"nome masculino",ĩ.bu.tʃˈi.dʊ
em·bu·tir,verbo,ĩ.bu.tʃˈi
e·me,"nome masculino",ˈɛ.mi
e·men·da,"nome feminino",e.mˈẽj.də
e·men·dar,verbo,e.mẽ.dˈa
e·men·ta,"nome feminino",e.mˈẽj.tə
e·men·tar,verbo,e.mẽ.tˈa
"e·mer·gên·ci· a","nome feminino",e.meɾ.ʒˈẽj.sjə
e·mer·gen·te,adjetivo,e.meɾ.ʒˈẽj.tʃi
e·mer·gir,verbo,e.meɾ.ʒˈi
e·me·ri·ta·men·te,advérbio,e.mɛ.ɾi.ta.mˈẽj.tʃi
e·mé·ri·to,adjetivo,e.mˈɛ.ɾi.tʊ
e·mer·são,"nome feminino",e.meɾ.sˈə̃w
e·mer·so,adjetivo,e.mˈɛɾ.sʊ
e·mi·gra·ção,"nome feminino",e.mi.gɾa.sˈə̃w
e·mi·gra·da,"nome feminino",e.mi.gɾˈa.də
e·mi·gra·do,"nome masculino",e.mi.gɾˈa.dʊ
e·mi·gra·do,adjetivo,e.mi.gɾˈa.dʊ
e·mi·gran·te,"nome masculino",e.mi.gɾˈə̃.tʃi
e·mi·gran·te,adjetivo,e.mi.gɾˈə̃.tʃi
e·mi·gran·te,"nome feminino",e.mi.gɾˈə̃.tʃi
e·mi·grar,verbo,e.mi.gɾˈa
"e·mi·gra·tó·ri· o",adjetivo,e.mi.gɾa.tˈɔ.ɾjʊ
e·mi·li·a·no,"nome masculino",e.mi.ljˈə.nʊ
e·mi·li·a·no,adjetivo,e.mi.ljˈə.nʊ
"e·mi·nên·ci· a","nome feminino",e.mi.nˈẽj.sjə
e·mi·nen·te,adjetivo,e.mi.nˈẽj.tʃi
e·mi·nen·te·men·te,advérbio,e.mi.nẽ.te.mˈẽj.tʃi
e·mi·nen·tís·si·mo,adjetivo,e.mi.nẽ.tʃˈi.si.mʊ
e·mir,"nome masculino",e.mˈiɾ
e·mi·ra·do,"nome masculino",e.mi.ɾˈa.dʊ
e·mi·ra·to,"nome masculino",e.mi.ɾˈa.tʊ
e·mis·são,"nome feminino",e.mi.sˈə̃w
"e·mis·sá·ri· a","nome feminino",e.mi.sˈa.ɾjə
"e·mis·sá·ri· o",adjetivo,e.mi.sˈa.ɾjʊ
"e·mis·sá·ri· o","nome masculino",e.mi.sˈa.ɾjʊ
e·mis·sor,adjetivo,e.mi.sˈoɾ
e·mis·sor,"nome masculino",e.mi.sˈoɾ
e·mis·so·ra,"nome feminino",e.mi.sˈo.ɾə
e·mi·ten·te,adjetivo,e.mi.tˈẽj.tʃi
e·mi·ten·te,"nome masculino",e.mi.tˈẽj.tʃi
e·mi·ten·te,"nome feminino",e.mi.tˈẽj.tʃi
e·mi·tir,verbo,e.mi.tʃˈi
e·mo·ção,"nome feminino",e.mo.sˈə̃w
e·mo·ci·o·na·do,adjetivo,e.mo.si.o.nˈa.dʊ
e·mo·ci·o·nal,adjetivo,e.mo.si.o.nˈaw
e·mo·ci·o·nal·men·te,advérbio,e.mo.si.o.naw.mˈẽj.tʃi
e·mo·ci·o·nan·te,adjetivo,e.mo.si.o.nˈə̃.tʃi
e·mo·ci·o·nar,verbo,e.mo.si.o.nˈa
e·mol·du·rar,verbo,e.mow.du.ɾˈa
e·mo·li·en·te,adjetivo,e.mo.li.ˈẽj.tʃi
e·mo·li·en·te,"nome masculino",e.mo.li.ˈẽj.tʃi
e·mo·lu·men·to,"nome masculino",e.mo.lu.mˈẽj.tʊ
e·mo·ti·va,"nome feminino",e.mo.tʃˈi.və
e·mo·ti·va·men·te,advérbio,e.mo.tʃi.va.mˈẽj.tʃi
e·mo·ti·vi·da·de,"nome feminino",e.mo.tʃi.vi.dˈa.dʒi
e·mo·ti·vo,"nome masculino",e.mo.tʃˈi.vʊ
e·mo·ti·vo,adjetivo,e.mo.tʃˈi.vʊ
em·pa,"nome feminino",ˈẽ.pə
em·pa·car,verbo,ĩ.pa.kˈa
